,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
61,['1645380000282030080'],1645380000282030080,"scottgshore $bite a film that's about burgerking and bite that gonna work together to make bitecoinbk a payment method soon..:) wanna watch the premier? come and join us fam.

… 

$bite bitecoinbk burgerkinguk ",,
62,['1645378738710802438'],1645378738710802438,newsweek which one accepts dogecoin first? mcdonalds or burgerking,,
63,['1645378345146744835'],1645378345146744835,minimastergg deerblitz royalfamily rishisunak 10downingstreet trussliz borisjohnson theresa_may burgerking nhsuk amongusgame fortnitegame speak of the devil,,
64,['1645377624443703306'],1645377624443703306,minimastergg deerblitz royalfamily rishisunak 10downingstreet trussliz borisjohnson theresa_may burgerking nhsuk amongusgame jesus not amongus,,
65,['1645377043427909633'],1645377043427909633,"burgerking any word on when you'll be accepting bitecoin?

thanks!

bitecoinbk ",,
66,['1645377004580003840'],1645377004580003840,thegrimreefers ericcryptoman $bite the burgerking,,
67,['1645376073675444225'],1645376073675444225,would try this burger  if this was handeddown to you . burgers burger burgerking yummy yum burgerpharaoh ,,
68,['1645376044164079616'],1645376044164079616,bitecoinbk burgerking burgerkinguk great! your project is very promising. let's talk,,
69,['1645374768378691585'],1645374768378691585,mcdo_ph burger king mcdonald burgerking mcdo_ph  mcdonalds,,
70,['1645373863146995713'],1645373863146995713,"yourcryptodj binance 🍔 bitecoinbsc is a token that emerged from the latest tweet of burger king "" bitecoin"". strong community active for twitter raids
dev already donated burgers to homeless

tg:
burgerkinguk burgerking burgerkingarg ",,
71,['1645373679637872640'],1645373679637872640,"thealtcoincom 🍔 bitecoinbsc is a token that emerged from the latest tweet of burger king "" bitecoin"". strong community active for twitter raids
dev already donated burgers to homeless

tg:
burgerkinguk burgerking burgerkingarg ",,
72,['1645372005473214471'],1645372005473214471,"hi barbie! hi king!👑

burgerking burgerkingindia bk whopper flamegrilled ",,
73,['1645371647237537794'],1645371647237537794,"     ....      bbc   web links  4 days ago..      i love   the how place and museum  line and clay and los vegas , i love god  burgerking",,
74,['1645371547454930946'],1645371547454930946,"bitecoinbsc burgerking burgerkinguk the best i've seen in recent times! i think the initiative of the team and the community is great!!
burgerking burgerkingarg burgerkinguk 
dogeofficialceo elonmusk",,
75,['1645370708111896577'],1645370708111896577,"the best you will see!!
burgerking burgerkingarg burgerkinguk bitecoinbsc altgemhunter 100xaltcoingems cryptogems555 cryptoworld202 elonmusk yourcryptodj 
viral criptos charity narkis72 dwsm513 ",,
76,['1645370316267352065'],1645370316267352065,minimastergg deerblitz royalfamily rishisunak 10downingstreet trussliz borisjohnson theresa_may burgerking nhsuk my god 💀,,
77,['1645369320342519810'],1645369320342519810,rt bitecoinbsc: burgerking check this out burgerking just for a single tweet of burgerkinguk we made this movement! charitable act feed…,,
78,['1645368296286347264'],1645368296286347264,"dopo la menzione di doge, burgerking sta ora ‘creando’ la propria criptovaluta? ",,
79,['1645364943988858880'],1645364943988858880,minimastergg deerblitz royalfamily rishisunak 10downingstreet trussliz borisjohnson theresa_may burgerking dudee not burger king,,
80,['1645363789422903296'],1645363789422903296,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
81,['1645362666926374918'],1645362666926374918,why burger king spawning an imaginary coin has left dogecoin ... - msnnow burgerking fastfood ,,
82,['1645362121838845952'],1645362121838845952,bitecoinbk burgerking burgerkinguk a very impressive and powerful project! send me message please,,
83,['1645361180288876547'],1645361180288876547,"teslaaibot never its since the mid age but with 1 difference.
in the past we got nothing to eat, today the poor get poisoned with the industrie e171 for example or seperator meat or eggs size l . its a shame that people get rich on human health of billions.
nestle mcdonalds_sa
burgerking",,
84,['1645354426603909122'],1645354426603909122,bitecoinbk burgerking burgerkinguk $bitecoin have it your way,,
85,['1645353853326336000'],1645353853326336000,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
86,['1645352722378510336'],1645352722378510336,"burgerking mcdonalds joliibee2 

location:  bharuch, gujarat

when we went there for lunch, we decided to order the 99 tasty meal combo. however, they declined to take our order since there weren't enough glasses to give us the soft drink that was part of the regular meal. ",,
87,['1645352478836408322'],1645352478836408322,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
