,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
83,['1645529985665343489'],1645529985665343489,lottkaren54 michaeldoge420 nachodelaheysus quantumfekt starshipdock tearsintherain1 lionelclone1 ali3nkat pryzmrulezz thekatskid1 safferpsyche memesus77 spadersnfts andremillaire rajtwittz dogeaccept musicphantom69 jewel_gardener d1dave123 dawnheartlrps sofakingdoge2nd kym_head yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike spacecrystalz historydefined historyinpics nelsonmandela yourhomemars spacex raphael 💖😇,,
84,['1645529978136588288'],1645529978136588288,coastalkongclub rumblekongs nike vans nickev123 direkkt illustriousoles sickpencil chiefshittalker algorithmicbot pardonmykong imma need to redesign my whole wardrobe around these,,
85,['1645529969555279885'],1645529969555279885,"rt dannymwilliams: every day is leg day 🤸🏼‍♂️

postworkout stretch ballet class cooldown selfie maledancer gym fitspo nike athl…",,
86,['1645529955936403457'],1645529955936403457,kjnblitz nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
87,['1645529951108747264'],1645529951108747264,"nike glad they record and monitor these calls. run it back, please! let it be a lesson learned.",,
88,['1645529930183348235'],1645529930183348235,rt tishawaddell: ummm clears throat so y'all can hear this loud and clear dylan mulvaney was not 🚫 i repeat not the first trans woman to h…,,
89,['1645529902823743488'],1645529902823743488,rtfkt takashipom nike neither i’m a 36 year old man with a kid on the way,,
90,['1645529899891843072'],1645529899891843072,"camoza1 nike dotswoosh ""....down well"". what does that even mean? go play your video games.",,
91,['1645529798964559872'],1645529798964559872,"heyguysitsguy fuzanigans allenev95095326 foxnews .nike is kind of another issue though.

i’m potentially a customer of sporting goods, etc., and nike produces all kinds of goods that are meant for the female form.

nike is offending both men and women with their dylanmulvaney campaign.

so fucknike.

",,
92,['1645529715560812544'],1645529715560812544,"rt thedropdate: visionary artist g-dragon delivers his signature style once again, this time in black and white.

nike x peaceminusone g-d…",,
93,['1645529693309878273'],1645529693309878273,"nike megan said, (and i quote) “i’m not the one” 🤣 umm excuse me? you are the one who chose to work for nike. therefore, you are the one that will assist me.",,
94,['1645529653841629188'],1645529653841629188,thefabbooklover connie2835 tampax olayskin nike we are being slowly erased. i’m an old lady at 64 but admired the likes of emily pankhurst who got us the vote only for the wokerati to shove the female aside for  the trans movement. my granddaughter 2 years old her future 😔😔😔😔 ,,
95,['1645529601467359232'],1645529601467359232,rt giobruno1600: woke nike is angry at its loyal female customers... ,,
96,['1645529600087461893'],1645529600087461893,athe1stp0wer jamesesses nike can help them get adjusted to living on the street in front of their building in portland.  lots of nice camping spots downtown.,,
97,['1645529597683851264'],1645529597683851264,rt drewhaas1: nike dotswoosh ,,
98,['1645529578285281280'],1645529578285281280,chaesbubba nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
99,['1645529548233101318'],1645529548233101318,youngre81 nike hufworldwide atmos_usa happy birthday!,,
0,['1645529498950184961'],1645529498950184961,"n8frost nike nikestore well monday 'baited' me in w/ newbalance 997s in remnants of easter... rjolli007 memobarela wilcocarla beiberlove69 
kotd sneakerhead atmoscollectorsclub ",,
1,['1645529453265600513'],1645529453265600513,nike dotswoosh ,,
2,['1645529402485379072'],1645529402485379072,nike megan only wants to respond when i say something lol. what customer service rep trained her?,,
3,['1645529366842032129'],1645529366842032129,"watched air tonight in the cinema, absolutely enthralling story acted out really well. must see film especially for those who’ve read shoedog 🎦 nike",,
4,['1645529348286607360'],1645529348286607360,rt jamaalaldin_tv:  23/04/08 hotter than hell yeji solo 227's youtube chili' itzy! kpop!🎶 …,,
5,['1645529339151388677'],1645529339151388677,"f u c k  nike 

thedemocrats told nike to go after american children, telling nike that the parents have no say over their offspring. that responsibility is for joebiden to decide. they told bobigers disney the same thing. stock in disney is falling faster than cnn ",,
6,['1645529208582709248'],1645529208582709248,ladyj_47 rwbstars01 olilondontv nike tampax olayskin we are not weak satan just hates women,,
7,['1645529174898098177'],1645529174898098177,classic cristina wakeupnrun nrc nikeplus running run bcn spain workout nike lacolmena pascua mona cristina ,,
8,['1645529164898861058'],1645529164898861058,prageru jordanbpeterson nike nope,,
9,['1645529147660472320'],1645529147660472320,"shout out to this middle aged white lesbian thegnudz from the offspring for standing up to those bigots . she is showing true courage 

dylanmulvaney budlight  nike trans troon transterrorism ",,
