,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
14,['1651928101960704001'],1651928101960704001,"authorities of any possible health hazard.  cocacola wakeup cocacola
cbitweets
upgovt

",,,en
16,['1651927989230370817'],1651927989230370817,such a sad thing this has been totally wakeup cocacola cocacola,,,en
17,['1651927941939601409'],1651927941939601409,"rt hecticgifts: new masterpieces - coca-cola picture dominoes



new hecticgifts masterpieces cocacola dominoe…",,,en
18,['1651927940278677504'],1651927940278677504,"yo cocacola, you gotta own up to the sketchy stuff that's going down at your bottling plants. wake up already!
wakeup cocacola",,,en
20,['1651927906346762240'],1651927906346762240,"apdiye than revenue vanthuru iruku coco cola va porutha vara avanva athan wakeup aaganum apdinu nenaikirangale
wakeup cocacola
cocacola
pmoindia
cbitweets
",,,en
21,['1651927890202865666'],1651927890202865666,what a bad thing this has been totally .wakeup cocacola cocacola,,,en
23,['1651927853611532290'],1651927853611532290,"the bottlers of cocacola are willing to resort to such deceitful tactics, what else are they capable of
mofpi_goi
upgovt
wakeup cocacola
",,,en
25,['1651927796816703493'],1651927796816703493,"we can't ignore the challenges we face within our own walls. it's time for cocacola to step up . wakeup cocacola
",,,en
26,['1651927758036152320'],1651927758036152320,what a bad thing this has been totally never wanted wakeup cocacola cocacola,,,en
28,['1651927700230250496'],1651927700230250496,"itha sollunva inga coco cola la than ithellam bottling plants la nadamutha illa vera ethavathu pandangalanu
wakeup cocacola
cocacola
pmoindia
cbitweets
",,,en
29,['1651927695553630209'],1651927695553630209,"hey cocacola , you can't turn a blind eye to the shady practices happening at your bottling plants. wakeup cocacola
 pmoindia
upgovt",,,en
30,['1651927644743794691'],1651927644743794691,they should come and take care of things wakeup cocacola cocacola,,,en
31,['1651927622262333446'],1651927622262333446,"hey cocacola , you can't turn a blind eye to the shady practices happening at your bottling plants. wakeup cocacola
 pmoindia
upgovt ",,,en
32,['1651927613731110915'],1651927613731110915,"really thank god for massive amounts of cocacola and mtn_dew...3am is not ideal wakeup time for ""monday wakeup cocacola...",,,en
33,['1651927605887787009'],1651927605887787009,"hey tweeps do you know that cocacola needs to take responsibility for all the unscrupulous activities at the bottling plants.  wakeup cocacola
 incometaxindia
mofpi_goi
upgovt",,,en
34,['1651927578150862848'],1651927578150862848,"hey tweeps have you heard it that cocacola needs to take responsibility for all the unscrupulous activities at the bottling plants.  wakeup cocacola
 incometaxindia
mofpi_goi
upgovt ",,,en
38,['1651927490632519680'],1651927490632519680,"the news about fake concentrate being used at coke’s unnao factory is sending shivers down my spine.  who knows what else they're hiding? cocacola
wakeup cocacola 
cbitweets
upgovt ",,,en
39,['1651927465999368192'],1651927465999368192,".  who else is involved in this deceitful scheme? cocacola wakeup cocacola
mofpi_goi
upgovt ",,,en
40,['1651927463910572033'],1651927463910572033,"cocacola wake up. you should do some responsibile things. what are you doing
guys share your views 
tell me in the comment box 
wakeupcocacola",,,en
